society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ireo the grand arch,3.0,sector 58,2158.0,13904.0,Super Built up area 2164(201.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1775 sq.ft. (164.9 sq.m.),3,4,2,10.0,North-East,Relatively New,,2164.0,2000.0,1775.0,1,1,0,0,0,2,174,4634.666666666667
shree vardhman flora,0.06,sector 90,496.0,1209.0,Super Built up area 1300(120.77 sq.m.)Built Up area: 1225 sq.ft. (113.81 sq.m.)Carpet area: 1075 sq.ft. (99.87 sq.m.),2,2,3,11.0,North-West,Relatively New,,1300.0,1225.0,1075.0,1,0,0,0,0,2,49,604.5
pioneer araya,8.0,sector 62,1951.0,40998.0,Super Built up area 4279(397.53 sq.m.),4,6,3,16.0,East,Relatively New,,4279.0,,,0,1,0,1,0,1,153,10249.5
ansal sushant lok plots,5.8,sector 43,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,house,,1935.0,,0,1,0,0,1,2,49,322.5
parsvnath exotica,5.0,sector 53,1724.0,29001.0,Carpet area: 2900 (269.42 sq.m.),3,4,3,7.0,,Old Property,,,,2900.0,0,1,0,0,0,2,24,9667.0
emaar mgf marbella,12.0,sector 66,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,3+,3.0,North-East,Relatively New,house,,3150.0,,0,1,1,0,0,2,153,630.0
independent,1.0,sector 6,4630.0,2160.0,Built Up area: 240 (22.3 sq.m.),6,4,0,3.0,,Undefined,house,,240.0,,0,0,0,0,0,1,0,360.0
signature global park,0.85,sohna road,7589.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,,Under Construction,house,,1120.0,,0,0,0,0,0,1,15,373.3333333333333
mvn athens,0.02,sohna road,466.0,429.0,Carpet area: 450 (41.81 sq.m.),1,1,1,11.0,,New Property,,,,450.0,0,0,0,0,0,1,16,429.0
spaze privvy the address,1.0,sector 93,803.0,12449.0,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,2,12.0,North-East,Relatively New,,1805.0,1350.0,1100.0,0,0,0,0,0,2,96,4149.666666666667
divya apartments,0.06,sector 6,759.0,790.0,Built Up area: 790 (73.39 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,0,2.0,South-West,Relatively New,,,790.0,750.0,0,0,0,0,0,2,15,395.0
vatika gurgaon,1.0,sector 83,631.0,15840.0,Super Built up area 1980(183.95 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,12.0,North,Moderately Old,,1980.0,1700.0,1400.0,0,1,0,0,0,1,95,5280.0
bptp astaire gardens,6.5,sector 70a,27873.0,2332.0,Plot area 299(250 sq.m.),4,4,3+,2.0,North-East,New Property,house,,299.0,,1,1,0,1,0,2,160,583.0
vipul world,1.0,sector 48,948.0,10546.0,Carpet area: 1450 (134.71 sq.m.),3,3,1,2.0,,Relatively New,,,,1450.0,0,0,0,0,0,1,60,3515.3333333333335
independent,5.25,sector 43,27132.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,,Old Property,house,,1935.0,,1,1,0,0,0,2,80,483.75
kamroon court,2.0,sector 43,1375.0,14545.0,Carpet area: 2000 (185.81 sq.m.),3,4,3+,5.0,North-East,Moderately Old,,,,2000.0,0,1,0,0,1,2,49,4848.333333333333
ireo skyon,3.0,sector 60,1339.0,22401.0,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,4,3,12.0,North,Relatively New,,2800.0,2650.0,2350.0,0,1,0,0,0,2,49,5600.25
sare crescent parc,0.04,sector 92,491.0,815.0,Carpet area: 998 (92.72 sq.m.),2,2,2,2.0,,Relatively New,,,,998.0,0,0,0,0,0,1,96,407.5
vatika lifestyle homes,1.0,sector 83,598.0,16717.0,Super Built up area 1755(163.04 sq.m.),3,3,2,14.0,South-West,Relatively New,,1755.0,,,1,1,1,1,0,2,174,5572.333333333333
ansal florence super,3.75,sector 57,23148.0,1620.0,Plot area 180(150.5 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),3,4,3,2.0,,Moderately Old,house,,,300.0,1,1,1,0,0,2,38,540.0
la vida by tata housing,2.0,sector 113,1253.0,15958.0,Super Built up area 2217(205.97 sq.m.)Built Up area: 2098 sq.ft. (194.91 sq.m.)Carpet area: 1859 sq.ft. (172.71 sq.m.),3,3,3,3.0,North,New Property,,2217.0,2098.0,1859.0,0,1,0,0,0,1,174,5319.333333333333
