society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
bptp mansions park prime,2.0,sector 66,977.0,4,4,3,6.0,Relatively New,flat,2501.0,0,1,0,0,1,1,13
vipul lavanya,0.06,sector 81,526.0,2,2,2,14.0,Moderately Old,flat,985.0,0,0,0,0,0,1,96
dlf wellington estate,2.0,sector 43,1461.0,3,3,2,11.0,Old Property,flat,1294.0,0,0,0,0,0,2,79
bhim nagar society,0.4,sector 6,2500.0,4,2,2,1.0,Moderately Old,house,1600.0,0,0,0,0,0,1,0
imperia the esfera,0.09,sector 37c,570.0,2,2,0,17.0,Under Construction,flat,1578.0,0,1,0,0,0,1,66
ss the leaf,1.0,sector 85,1237.0,2,2,2,4.0,Relatively New,flat,1190.0,0,1,1,0,0,1,81
bptp terra,1.0,sector 37d,856.0,3,3,3+,11.0,Relatively New,flat,1639.0,0,0,0,0,0,1,79
bestech altura,1.0,sector 79,860.0,3,3,3,7.0,New Property,flat,1650.0,0,1,0,0,0,1,53
lavanya apartments,0.09,sector 81,506.0,3,3,0,7.0,Relatively New,flat,1780.0,0,0,0,0,0,1,0
housing apna enclave,0.03,sector 4,410.0,2,2,1,1.0,Relatively New,flat,950.0,0,0,0,0,0,1,0
tulip violet,1.0,sector 69,895.0,4,4,2,9.0,Relatively New,flat,1819.0,0,0,0,1,0,2,165
dlf gardencity enclave,1.3,sector 93,11285.0,3,2,1,3.0,Relatively New,house,1152.0,0,0,0,0,0,1,50
afnhb jalvayu vihar,1.0,sector 30,1000.0,3,3,2,2.0,Old Property,flat,1401.0,0,0,0,0,0,1,19
bptp visionnaire,5.25,sector 70a,20115.0,5,4,3+,3.0,New Property,house,2610.0,0,1,0,0,0,2,49
independent,3.49,sector 57,20197.0,4,4,2,3.0,Moderately Old,house,1728.0,1,1,0,1,0,2,49
ss the leaf,1.0,sector 85,632.0,2,2,3+,3.0,Relatively New,flat,1464.0,0,0,1,0,0,1,143
dlf the ultima,2.0,sector 81,1099.0,3,4,3+,6.0,New Property,flat,1893.0,0,1,0,0,0,0,167
independent,1.5,sector 3,10288.0,3,3,0,2.0,Old Property,house,210.0,0,0,0,0,0,1,0
signature global solera,0.03,sector 107,676.0,2,2,1,10.0,Relatively New,flat,496.0,0,0,0,0,0,1,73
pioneer araya,9.0,sector 62,2100.0,4,6,3,12.0,Relatively New,flat,3933.0,0,1,0,1,0,2,138
international city by sobha phase 1,6.0,sector 109,9634.0,4,5,3,2.0,Moderately Old,house,6228.0,0,0,0,0,0,1,76
umang monsoon breeze,1.0,sector 78,528.0,3,3,3,9.0,Moderately Old,flat,1969.0,0,1,0,0,1,1,22
m3m skycity,1.0,sector 65,1370.0,2,2,3,13.0,New Property,flat,1456.0,0,0,0,0,0,1,73
independent,3.5,sector 12,14787.0,8,8,3+,3.0,Relatively New,house,4800.0,1,1,0,1,0,0,77
shapoorji pallonji joyville gurugram,0.09,sector 102,1060.0,2,2,2,12.0,Relatively New,flat,828.0,0,0,0,0,0,1,100
umang monsoon breeze,1.0,sector 78,500.0,4,4,3,2.0,Relatively New,flat,2300.0,0,1,0,1,1,1,57
conscient heritage max,3.0,sector 102,1049.0,4,4,3+,7.0,Relatively New,flat,3178.0,0,0,0,0,1,2,65
unitech uniworld gardens,2.0,sector 47,1150.0,3,3,3+,10.0,Moderately Old,flat,1888.0,0,1,0,0,0,2,120
the close north,2.0,sector 50,1177.0,3,3,3+,8.0,Moderately Old,flat,1950.0,0,0,0,0,0,2,165
experion the heartsong,2.0,sector 108,820.0,4,5,3+,8.0,Relatively New,flat,2515.0,0,0,0,0,0,1,101
independent,0.6,sector 4,11696.0,3,3,1,2.0,Old Property,house,57.0,0,0,0,0,1,1,0
sobha city,2.0,sector 108,1446.0,3,3,3,17.0,Relatively New,flat,1711.0,0,0,1,0,0,2,159
independent,1.45,sector 24,2984.0,3,3,1,2.0,Old Property,house,540.0,0,0,0,0,0,1,9
