sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
44.0,3,3,4.0,3.0,0.0,1639.0,0,0,1,1.0,0.0,1.0
89.0,3,3,3.0,1.0,0.0,1650.0,1,0,1,1.0,2.0,1.0
92.0,3,3,0.0,3.0,0.0,1780.0,0,0,1,0.0,2.0,0.09
47.0,2,2,1.0,3.0,0.0,950.0,0,0,1,0.0,1.0,0.03
78.0,4,4,2.0,3.0,0.0,1819.0,0,0,2,2.0,2.0,1.0
106.0,3,2,1.0,3.0,1.0,1152.0,0,0,1,1.0,2.0,1.3
37.0,3,3,2.0,2.0,0.0,1401.0,0,0,1,0.0,1.0,1.0
81.0,5,4,4.0,1.0,1.0,2610.0,1,0,2,0.0,2.0,5.25
64.0,4,4,2.0,0.0,1.0,1728.0,1,0,2,0.0,2.0,3.49
97.0,2,2,4.0,3.0,0.0,1464.0,0,1,1,1.0,2.0,1.0
92.0,3,4,4.0,1.0,0.0,1893.0,1,0,0,2.0,2.0,2.0
34.0,3,3,0.0,2.0,1.0,210.0,0,0,1,0.0,1.0,1.5
9.0,2,2,1.0,3.0,0.0,496.0,0,0,1,1.0,2.0,0.03
70.0,4,6,3.0,3.0,0.0,3933.0,1,0,2,1.0,0.0,9.0
11.0,4,5,3.0,0.0,1.0,6228.0,0,0,1,1.0,1.0,6.0
88.0,3,3,3.0,0.0,0.0,1969.0,1,0,1,0.0,2.0,1.0
73.0,2,2,3.0,1.0,0.0,1456.0,0,0,1,1.0,0.0,1.0
18.0,8,8,4.0,3.0,1.0,4800.0,1,0,0,1.0,2.0,3.5
4.0,2,2,2.0,3.0,0.0,828.0,0,0,1,1.0,0.0,0.09
88.0,4,4,3.0,3.0,0.0,2300.0,1,0,1,1.0,1.0,1.0
4.0,4,4,4.0,3.0,0.0,3178.0,0,0,2,1.0,2.0,3.0
53.0,3,3,4.0,0.0,0.0,1888.0,1,0,2,1.0,2.0,2.0
57.0,3,3,4.0,0.0,0.0,1950.0,0,0,2,2.0,2.0,2.0
10.0,4,5,4.0,3.0,0.0,2515.0,0,0,1,1.0,2.0,2.0
47.0,3,3,1.0,2.0,1.0,57.0,0,0,1,0.0,1.0,0.6
10.0,3,3,3.0,3.0,0.0,1711.0,0,1,2,2.0,0.0,2.0
29.0,3,3,1.0,2.0,1.0,540.0,0,0,1,0.0,1.0,1.45
111.0,1,1,2.0,1.0,0.0,360.0,0,0,1,1.0,1.0,0.02
80.0,3,5,3.0,1.0,0.0,1527.0,1,0,1,0.0,2.0,1.0
5.0,4,6,4.0,3.0,0.0,2456.0,1,0,1,2.0,0.0,2.0
20.0,1,1,0.0,2.0,1.0,2250.0,0,0,1,0.0,1.0,4.6
89.0,2,2,3.0,1.0,0.0,1423.0,0,0,1,0.0,2.0,1.0
1.0,3,3,2.0,3.0,0.0,1294.0,0,0,2,2.0,1.0,1.0
97.0,2,2,3.0,3.0,0.0,1730.0,0,0,1,0.0,2.0,1.0
9.0,2,2,4.0,0.0,0.0,1236.0,0,0,1,1.0,1.0,0.09
93.0,4,5,4.0,3.0,0.0,2294.0,1,0,1,1.0,0.0,1.0
2.0,3,3,3.0,2.0,0.0,1900.0,1,0,0,0.0,1.0,0.09
43.0,2,2,4.0,3.0,0.0,1179.0,0,1,2,1.0,0.0,0.09
87.0,3,4,4.0,3.0,0.0,1810.0,1,0,2,2.0,2.0,1.0
105.0,4,4,0.0,3.0,0.0,2040.0,0,0,1,0.0,2.0,1.0
101.0,2,2,2.0,1.0,0.0,998.0,0,0,1,1.0,2.0,0.09
111.0,2,2,2.0,1.0,0.0,588.0,0,0,1,0.0,0.0,0.02
92.0,2,2,2.0,4.0,0.0,1194.0,0,0,1,0.0,2.0,0.08
9.0,2,2,3.0,3.0,0.0,1281.0,0,0,2,2.0,2.0,0.09
7.0,3,2,1.0,3.0,0.0,1056.0,0,0,2,0.0,1.0,0.04
29.0,3,4,4.0,2.0,0.0,3201.0,1,0,2,1.0,2.0,4.0
81.0,2,2,3.0,3.0,0.0,1402.0,0,0,1,0.0,0.0,1.0
11.0,3,4,4.0,3.0,0.0,2100.0,1,0,2,2.0,0.0,2.0
89.0,3,3,4.0,3.0,0.0,1213.0,0,0,2,1.0,1.0,1.0
111.0,3,3,4.0,3.0,0.0,1382.0,0,0,1,2.0,2.0,1.0
83.0,4,5,4.0,3.0,0.0,2376.0,1,0,2,2.0,0.0,3.0
5.0,4,5,0.0,3.0,1.0,4700.0,0,0,1,1.0,0.0,3.15
51.0,6,4,4.0,2.0,1.0,2475.0,1,1,2,1.0,2.0,7.35
